size,time
989980,3432
989970,3900
989960,3324
989950,3576
989940,2795
989930,3300
989920,3348
989910,3516
989900,3288
989890,3708
989880,3540
989870,3552
989860,3996
989850,3600
989840,4056
989830,3492
989820,3984
989810,3900
989800,3576
989790,3744
989780,3948
989770,3468
989760,3708
989750,4008
989740,3180
989730,3864
989720,3204
989710,3240
989700,4020
989690,3096
989680,3612
989670,3024
989660,3912
989650,3732
989640,3035
989630,3660
989620,3696
989610,3516
989600,3348
989590,3468
989580,3924
989570,3924
989560,3708
989550,3924
989540,3888
989530,3756
989520,3780
989510,3972
989500,3624
989490,3456
989480,3432
989470,2568
989460,3360
989450,3180
989440,2352
989430,3612
989420,3612
989410,3948
989400,3744
989390,4140
989380,3420
989370,3828
989360,4128
989350,3996
989340,3840
989330,4848
989320,3348
989310,3972
989300,3816
989290,3864
989280,3372
989270,3348
989260,3696
989250,3696
989240,3468
989230,4056
989220,3300
989210,3636
989200,3732
989190,3684
989180,3912
989170,4020
989160,3420
989150,3108
989140,3312
989130,3600
989120,4020
989110,3720
989100,3960
989090,3504
989080,3456
989070,3516
989060,3048
989050,3348
989040,4176
989030,3432
989020,3360
989010,3420
989000,3732
988990,3168
988980,3816
988970,3996
988960,3828
988950,3084
988940,3516
988930,3336
988920,3756
988910,3900
988900,3720
988890,3564
988880,3300
988870,3756
988860,3432
988850,5088
988840,4044
988830,3504
988820,3480
988810,2928
988800,3408
988790,3624
988780,3515
988770,5052
988760,3900
988750,3792
988740,4248
988730,3288
988720,4032
988710,3612
988700,3768
988690,4536
988680,3804
988670,4212
988660,3900
988650,3804
988640,3504
988630,3984
988620,3396
988610,3372
988600,3648
988590,3816
988580,3684
988570,3576
988560,3588
988550,3264
988540,4020
988530,4020
988520,4212
988510,3468
988500,3612
988490,3348
988480,3660
988470,4200
988460,4284
988450,2904
988440,4104
988430,4344
988420,4464
988410,3840
988400,3228
988390,3684
988380,3324
988370,3888
988360,3420
988350,3684
988340,3612
988330,3876
988320,3708
988310,3792
988300,3768
988290,3684
988280,3780
988270,4007
988260,3624
988250,4260
988240,3552
988230,3360
988220,3792
988210,3456
988200,3708
988190,3864
988180,3084
988170,3660
988160,4092
988150,3432
988140,4212
988130,3936
988120,3551
988110,3672
988100,3936
988090,3888
988080,3420
988070,3660
988060,4056
988050,3564
988040,2724
988030,3504
988020,3972
988010,3924
988000,4188
987990,4260
987980,3672
987970,2916
987960,3564
987950,3540
987940,3768
987930,4128
987920,3384
987910,4044
987900,4032
987890,3924
987880,3120
987870,3312
987860,3504
987850,3000
987840,3504
987830,4452
987820,3420
987810,2832
987800,3984
987790,4728
987780,4020
987770,3648
987760,3948
987750,3552
987740,3588
987730,3456
987720,2760
987710,3552
987700,3804
987680,3420
987670,3384
987660,3312
987650,3540
987640,3780
987630,3684
987620,4380
987610,3780
987600,4116
987590,3708
987580,4440
987570,4344
987560,3540
987550,3180
987540,3168
987530,3852
987520,3384
987510,3300
987500,4320
987490,3384
987480,3348
987470,3804
987460,3984
987450,4128
987440,5316
987430,3564
987420,4248
987410,3528
987400,3744
987390,3864
987380,4188
987370,4332
987360,3540
987350,3000
987340,4188
987330,3876
987320,3708
987310,2556
987300,3636
987290,3840
987280,3168
987270,3000
987260,3924
987250,3744
987240,2976
987230,3732
987220,3912
987210,3828
987200,3576
987190,3972
987180,3420
987170,2880
987160,4068
987150,4068
987140,3168
987130,3024
987120,3264
987110,4128
987100,3120
987090,3636
987080,3180
987070,4056
987060,3324
987050,2988
987040,3192
987030,3432
987020,3792
987010,3576
987000,3096
986990,3780
986980,3564
986970,5712
986960,3840
986950,4116
986940,3072
986930,3348
986920,3684
986910,3360
986900,3552
986890,3180
986880,3624
986870,3468
986860,3720
986850,3624
986840,3048
986830,4128
986820,3312
986810,4284
986800,3096
986790,3384
986780,3828
986770,3240
986760,4164
986750,2976
986740,3036
986730,3588
986720,4104
986710,3888
986700,3924
986690,2796
986680,3996
986670,3660
986660,3240
986650,2712
986640,3288
986630,4272
986620,3804
986610,3996
986600,3120
986590,3900
986580,3708
986570,3792
986560,3516
986550,3876
986540,3456
986530,3372
986520,3216
986510,3624
986500,2844
986490,3948
986480,3468
986470,3180
986460,3252
986450,3912
986440,3360
986430,3168
986420,3516
986410,2844
986400,4128
986390,3480
986380,3288
986370,3348
986360,3480
986350,3180
986340,4476
986330,2964
986320,3744
986310,2724
986300,3492
986290,2748
986280,3096
986270,2868
986260,3000
986250,4116
986240,2640
986230,3168
